"Figure 2. Daily percentage of tests positive for influenza among all reported influenza tests (7-day rolling average), England",,
Thursday 19 June 2025 week 25 report (up to week 24 data),,
This worksheet contains one table.,,
Date,Season,Positivity (%)
17 November 2024,2024 to 2025,4.8
18 November 2024,2024 to 2025,5.3
19 November 2024,2024 to 2025,5.7
20 November 2024,2024 to 2025,6.1
21 November 2024,2024 to 2025,6.8
22 November 2024,2024 to 2025,7.2
23 November 2024,2024 to 2025,7.7
24 November 2024,2024 to 2025,8.4
25 November 2024,2024 to 2025,9.1
26 November 2024,2024 to 2025,10.1
27 November 2024,2024 to 2025,10.8
28 November 2024,2024 to 2025,11.6
29 November 2024,2024 to 2025,12.6
30 November 2024,2024 to 2025,13.3
1 December 2024,2024 to 2025,13.9
2 December 2024,2024 to 2025,14.9
3 December 2024,2024 to 2025,15.8
4 December 2024,2024 to 2025,16.7
5 December 2024,2024 to 2025,17.7
6 December 2024,2024 to 2025,18.2
7 December 2024,2024 to 2025,18.7
8 December 2024,2024 to 2025,19.2
9 December 2024,2024 to 2025,19.8
10 December 2024,2024 to 2025,20.3
11 December 2024,2024 to 2025,21.1
12 December 2024,2024 to 2025,21.4
13 December 2024,2024 to 2025,22.4
14 December 2024,2024 to 2025,22.9
15 December 2024,2024 to 2025,23.9
16 December 2024,2024 to 2025,24.8
17 December 2024,2024 to 2025,25.6
18 December 2024,2024 to 2025,26.3
19 December 2024,2024 to 2025,27.0
20 December 2024,2024 to 2025,27.6
21 December 2024,2024 to 2025,28.0
22 December 2024,2024 to 2025,28.0
23 December 2024,2024 to 2025,28.4
24 December 2024,2024 to 2025,29.0
25 December 2024,2024 to 2025,29.4
26 December 2024,2024 to 2025,30.0
27 December 2024,2024 to 2025,30.5
28 December 2024,2024 to 2025,30.8
29 December 2024,2024 to 2025,30.8
30 December 2024,2024 to 2025,30.9
31 December 2024,2024 to 2025,30.5
1 January 2025,2024 to 2025,29.9
2 January 2025,2024 to 2025,29.1
3 January 2025,2024 to 2025,27.8
4 January 2025,2024 to 2025,26.8
5 January 2025,2024 to 2025,25.8
6 January 2025,2024 to 2025,24.4
7 January 2025,2024 to 2025,23.2
8 January 2025,2024 to 2025,22.2
9 January 2025,2024 to 2025,20.9
10 January 2025,2024 to 2025,20.2
11 January 2025,2024 to 2025,19.4
12 January 2025,2024 to 2025,18.7
13 January 2025,2024 to 2025,18.3
14 January 2025,2024 to 2025,18.0
15 January 2025,2024 to 2025,17.6
16 January 2025,2024 to 2025,17.5
17 January 2025,2024 to 2025,17.2
18 January 2025,2024 to 2025,17.2
19 January 2025,2024 to 2025,17.0
20 January 2025,2024 to 2025,16.6
21 January 2025,2024 to 2025,16.1
22 January 2025,2024 to 2025,15.9
23 January 2025,2024 to 2025,15.8
24 January 2025,2024 to 2025,15.5
25 January 2025,2024 to 2025,15.2
26 January 2025,2024 to 2025,14.8
27 January 2025,2024 to 2025,14.6
28 January 2025,2024 to 2025,14.5
29 January 2025,2024 to 2025,14.2
30 January 2025,2024 to 2025,13.9
31 January 2025,2024 to 2025,13.8
1 February 2025,2024 to 2025,13.6
2 February 2025,2024 to 2025,13.6
3 February 2025,2024 to 2025,13.4
4 February 2025,2024 to 2025,13.4
5 February 2025,2024 to 2025,13.7
6 February 2025,2024 to 2025,13.7
7 February 2025,2024 to 2025,13.5
8 February 2025,2024 to 2025,13.5
9 February 2025,2024 to 2025,13.4
10 February 2025,2024 to 2025,13.1
11 February 2025,2024 to 2025,12.9
12 February 2025,2024 to 2025,12.5
13 February 2025,2024 to 2025,12.4
14 February 2025,2024 to 2025,12.6
15 February 2025,2024 to 2025,12.6
16 February 2025,2024 to 2025,12.4
17 February 2025,2024 to 2025,12.5
18 February 2025,2024 to 2025,12.4
19 February 2025,2024 to 2025,12.4
20 February 2025,2024 to 2025,12.5
21 February 2025,2024 to 2025,12.5
22 February 2025,2024 to 2025,12.3
23 February 2025,2024 to 2025,12.4
24 February 2025,2024 to 2025,12.4
25 February 2025,2024 to 2025,12.3
26 February 2025,2024 to 2025,12.1
27 February 2025,2024 to 2025,11.7
28 February 2025,2024 to 2025,11.2
1 March 2025,2024 to 2025,10.9
2 March 2025,2024 to 2025,10.5
3 March 2025,2024 to 2025,10.0
4 March 2025,2024 to 2025,9.7
5 March 2025,2024 to 2025,9.4
6 March 2025,2024 to 2025,9.2
7 March 2025,2024 to 2025,9.1
8 March 2025,2024 to 2025,9.1
9 March 2025,2024 to 2025,9.1
10 March 2025,2024 to 2025,9.2
11 March 2025,2024 to 2025,9.2
12 March 2025,2024 to 2025,8.8
13 March 2025,2024 to 2025,8.7
14 March 2025,2024 to 2025,8.5
15 March 2025,2024 to 2025,8.4
16 March 2025,2024 to 2025,8.0
17 March 2025,2024 to 2025,8.0
18 March 2025,2024 to 2025,7.8
19 March 2025,2024 to 2025,8.1
20 March 2025,2024 to 2025,8.2
21 March 2025,2024 to 2025,8.5
22 March 2025,2024 to 2025,8.7
23 March 2025,2024 to 2025,8.7
24 March 2025,2024 to 2025,8.4
25 March 2025,2024 to 2025,8.3
26 March 2025,2024 to 2025,8.1
27 March 2025,2024 to 2025,7.9
28 March 2025,2024 to 2025,7.5
29 March 2025,2024 to 2025,7.2
30 March 2025,2024 to 2025,7.0
31 March 2025,2024 to 2025,6.8
1 April 2025,2024 to 2025,6.7
2 April 2025,2024 to 2025,6.3
3 April 2025,2024 to 2025,6.1
4 April 2025,2024 to 2025,5.9
5 April 2025,2024 to 2025,5.7
6 April 2025,2024 to 2025,5.5
7 April 2025,2024 to 2025,5.5
8 April 2025,2024 to 2025,5.4
9 April 2025,2024 to 2025,5.4
10 April 2025,2024 to 2025,5.2
11 April 2025,2024 to 2025,5.2
12 April 2025,2024 to 2025,5.1
13 April 2025,2024 to 2025,4.9
14 April 2025,2024 to 2025,4.6
15 April 2025,2024 to 2025,4.5
16 April 2025,2024 to 2025,4.2
17 April 2025,2024 to 2025,4.0
18 April 2025,2024 to 2025,3.7
19 April 2025,2024 to 2025,3.6
20 April 2025,2024 to 2025,3.6
21 April 2025,2024 to 2025,3.7
22 April 2025,2024 to 2025,3.5
23 April 2025,2024 to 2025,3.5
24 April 2025,2024 to 2025,3.4
25 April 2025,2024 to 2025,3.4
26 April 2025,2024 to 2025,3.4
27 April 2025,2024 to 2025,3.3
28 April 2025,2024 to 2025,2.8
29 April 2025,2024 to 2025,2.7
30 April 2025,2024 to 2025,2.7
1 May 2025,2024 to 2025,2.6
2 May 2025,2024 to 2025,2.4
3 May 2025,2024 to 2025,2.3
4 May 2025,2024 to 2025,2.2
5 May 2025,2024 to 2025,2.2
6 May 2025,2024 to 2025,2.1
7 May 2025,2024 to 2025,1.8
8 May 2025,2024 to 2025,1.6
9 May 2025,2024 to 2025,1.6
10 May 2025,2024 to 2025,1.5
11 May 2025,2024 to 2025,1.5
12 May 2025,2024 to 2025,1.5
13 May 2025,2024 to 2025,1.6
14 May 2025,2024 to 2025,1.5
15 May 2025,2024 to 2025,1.5
16 May 2025,2024 to 2025,1.6
17 May 2025,2024 to 2025,1.6
18 May 2025,2024 to 2025,1.6
19 May 2025,2024 to 2025,1.6
20 May 2025,2024 to 2025,1.5
21 May 2025,2024 to 2025,1.4
22 May 2025,2024 to 2025,1.3
23 May 2025,2024 to 2025,1.2
24 May 2025,2024 to 2025,1.1
25 May 2025,2024 to 2025,1.0
26 May 2025,2024 to 2025,1.0
27 May 2025,2024 to 2025,1.1
28 May 2025,2024 to 2025,1.0
29 May 2025,2024 to 2025,1.1
30 May 2025,2024 to 2025,1.0
31 May 2025,2024 to 2025,1.0
1 June 2025,2024 to 2025,0.9
2 June 2025,2024 to 2025,0.8
3 June 2025,2024 to 2025,0.7
4 June 2025,2024 to 2025,0.7
5 June 2025,2024 to 2025,0.7
6 June 2025,2024 to 2025,0.8
7 June 2025,2024 to 2025,0.7
8 June 2025,2024 to 2025,0.7
9 June 2025,2024 to 2025,0.7
10 June 2025,2024 to 2025,0.7
11 June 2025,2024 to 2025,0.7
12 June 2025,2024 to 2025,0.7
13 June 2025,2024 to 2025,0.6
14 June 2025,2024 to 2025,0.6
15 June 2025,2024 to 2025,0.7
